scope,espn_id,name,pos,status,wins,losses,skips,appearances,win_pct,dynasty_value,on_field_value,fair_value_2026,fair_value_dynasty
overall,4362628,Jamarr Chase,WR,active,73,0,0,73,100.0,79.6,80.9,179.0,179.0
overall,4426515,Puka Nacua,WR,active,46,0,0,46,100.0,79.4,79.5,184.0,703.0
overall,3918298,Josh Allen,QB,active,31,0,0,31,100.0,74.5,80.0,121.0,357.0
overall,4431452,Drake Maye,QB,rookie,15,0,0,15,100.0,75.5,74.7,134.0,134.0
overall,3117251,Christian McCaffrey,RB,fa,3,0,0,3,100.0,66.3,79.7,119.0,119.0
overall,4242546,Davis Mills,QB,fa,1,0,0,1,100.0,28.8,14.1,0.0,0.0
overall,4428850,Dontayvion Wicks,WR,fa,1,0,0,1,100.0,49.0,19.9,47.0,47.0
overall,4430807,Bijan Robinson,RB,rookie,81,1,1,83,97.6,86.7,97.1,231.0,231.0
overall,4430878,Jaxon Smith-Njigba,WR,rookie,69,1,1,71,97.2,80.9,75.9,195.0,195.0
overall,4241389,Ceedee Lamb,WR,active,30,0,1,31,96.8,64.8,60.3,106.0,106.0
overall,4258173,Nico Collins,WR,fa,43,2,0,45,95.6,66.4,58.4,118.0,118.0
overall,3915511,Joe Burrow,QB,fa,21,0,1,22,95.5,56.3,56.3,47.0,47.0
overall,4595348,Malik Nabers,WR,fa,15,1,0,16,93.8,51.4,40.8,58.0,58.0
overall,4262921,Justin Jefferson,WR,active,28,2,0,30,93.3,64.4,56.6,105.0,105.0
overall,4426502,Drake London,WR,active,54,3,1,58,93.1,63.2,50.8,106.0,106.0
overall,4379399,James Cook,RB,extension,25,2,0,27,92.6,70.4,76.0,142.0,550.0
overall,4361307,Trey McBride,TE,active,34,3,0,37,91.9,77.5,90.0,175.0,175.0
overall,4429615,Zay Flowers,WR,rookie,67,6,0,73,91.8,67.9,56.5,125.0,125.0
overall,4431459,Tyler Warren,TE,rookie,31,2,1,34,91.2,71.3,71.1,155.0,155.0
overall,3040151,George Kittle,TE,active,50,4,1,55,90.9,67.2,93.1,113.0,224.0
overall,4432708,Marvin Harrison Jr.,WR,rookie,24,3,0,27,88.9,64.5,51.3,114.0,114.0
overall,4241478,Devonta Smith,WR,active,24,3,0,27,88.9,63.1,57.3,97.0,370.0
overall,3929630,Saquon Barkley,RB,fa,8,1,0,9,88.9,62.3,66.0,106.0,106.0
overall,4429795,Jahmyr Gibbs,RB,rookie,14,0,2,16,87.5,88.3,99.7,240.0,240.0
overall,4047646,AJ Brown,WR,extension,13,1,1,15,86.7,60.5,60.6,83.0,392.0
overall,4685382,Omarion Hampton,RB,rookie,17,2,1,20,85.0,54.8,51.3,87.0,87.0
overall,4038941,Justin Herbert,QB,fa,11,2,0,13,84.6,63.5,55.7,77.0,77.0
overall,4429160,Devon Achane,RB,rookie,27,4,1,32,84.4,76.7,81.0,180.0,180.0
overall,4576297,AJ Barner,TE,fa,16,3,0,19,84.2,54.7,39.6,81.0,81.0
overall,4360078,Alec Pierce,WR,active,25,5,0,30,83.3,60.1,45.9,90.0,177.0
overall,4360248,Kyle Pitts,TE,active,15,3,0,18,83.3,58.6,52.5,93.0,93.0
overall,5083076,harold fannin,TE,rookie,14,3,0,17,82.4,60.3,48.2,108.0,108.0
overall,4427366,Breece Hall,RB,active,17,4,0,21,81.0,65.0,61.6,125.0,125.0
overall,3139477,Patrick Mahomes,QB,active,29,6,1,36,80.6,70.1,76.4,100.0,100.0
overall,4567048,Kenneth Walker III,RB,extension,12,2,1,15,80.0,57.1,51.1,90.0,263.0
overall,4696981,cam skattebo,RB,rookie,11,3,0,14,78.6,45.9,41.5,50.0,50.0
overall,4361432,Romeo Doubs,WR,active,14,4,0,18,77.8,58.0,42.9,81.0,81.0
overall,4685702,Quinshon Judkins,RB,rookie,17,4,1,22,77.3,52.8,34.3,80.0,80.0
overall,4362238,Chase Brown,RB,rookie,13,3,1,17,76.5,60.1,55.7,101.0,101.0
overall,4035687,Michael Pittman,WR,active,15,5,0,20,75.0,55.6,47.3,64.0,64.0
overall,4690143,LaJohntay Wester,WR,fa,3,1,0,4,75.0,46.7,10.9,39.0,39.0
overall,4241416,Chuba Hubbard,RB,fa,3,1,0,4,75.0,50.5,39.1,64.0,64.0
overall,4596448,Bucky Irving,RB,active,17,5,1,23,73.9,56.0,49.0,91.0,179.0
overall,4242335,Jonathan Taylor,RB,extension,8,3,0,11,72.7,71.0,81.7,142.0,553.0
overall,4432665,Brock Bowers,TE,rookie,13,3,2,18,72.2,70.7,74.7,154.0,154.0
overall,4372414,Elijah Moore,WR,fa,5,2,0,7,71.4,41.3,15.9,19.0,19.0
overall,3046439,Hunter Henry,TE,active,7,3,0,10,70.0,56.3,64.9,73.0,73.0
overall,3915416,DJ Moore,WR,extension,7,3,0,10,70.0,52.5,43.2,52.0,201.0
overall,4685472,Tet McMillain,WR,rookie,9,3,1,13,69.2,67.4,49.2,129.0,129.0
overall,4426348,Jayden Daniels,QB,rookie,16,8,0,24,66.7,53.6,50.0,38.0,38.0
overall,4432710,Treveyon Henderson,RB,rookie,6,2,1,9,66.7,64.0,53.3,126.0,126.0
overall,4723086,Colston Loveland,TE,rookie,4,1,1,6,66.7,64.3,56.0,126.0,126.0
overall,4259147,Jake Tonges,TE,fa,2,1,0,3,66.7,48.4,34.1,52.0,52.0
overall,4426354,George Pickens,WR,active,2,1,0,3,66.7,75.2,69.5,162.0,320.0
overall,4808766,Mason Taylor,TE,rookie,3,2,0,5,60.0,53.3,40.7,76.0,76.0
overall,2577417,Dak Prescott,QB,active,12,8,1,21,57.1,61.8,66.7,63.0,126.0
overall,4385690,Dalton Kincaid,TE,fa,8,6,0,14,57.1,57.9,56.8,92.0,92.0
overall,4372016,Jaylen Waddle,WR,active,5,1,3,9,55.6,60.6,53.3,87.0,87.0
overall,4038815,Rico Dowdle,RB,active,6,6,0,12,50.0,52.1,46.6,67.0,132.0
overall,4360689,Tyler Shough,QB,rookie,5,5,0,10,50.0,52.9,45.7,35.0,35.0
overall,4429275,Trey Benson,RB,fa,4,4,0,8,50.0,40.2,31.0,31.0,31.0
overall,4683062,Xavier Worthy,WR,rookie,3,3,0,6,50.0,55.9,31.8,76.0,76.0
overall,4432620,Parker Washington,WR,active,3,3,0,6,50.0,53.5,29.0,65.0,191.0
overall,4691688,Robbie Ouzts,RB,fa,2,2,0,4,50.0,35.7,4.9,17.0,17.0
overall,3122168,Trent Sherfield Sr.,WR,fa,2,2,0,4,50.0,29.5,11.0,0.0,0.0
overall,4248528,Christian Watson,WR,active,3,4,0,7,42.9,49.0,39.5,43.0,125.0
overall,4428209,Ricky Pearsall,WR,rookie,4,6,0,10,40.0,45.3,31.0,32.0,32.0
overall,4242557,Colby Parkinson,TE,fa,2,3,0,5,40.0,44.3,30.2,37.0,37.0
overall,4426385,Zach Charbonnet,RB,rookie,2,3,0,5,40.0,51.9,38.6,71.0,71.0
overall,3116406,Tyreek Hill,WR,extension,2,3,0,5,40.0,41.1,50.6,15.0,44.0
overall,4890973,Ashton Jeanty,RB,rookie,3,4,1,8,37.5,55.5,34.0,92.0,92.0
overall,4360797,Tutu Atwell,WR,fa,2,4,0,6,33.3,43.5,19.5,26.0,26.0
overall,4426496,Cade Stover,TE,fa,2,4,0,6,33.3,31.0,13.1,0.0,0.0
overall,4373678,Khalil Shakir,WR,active,2,4,0,6,33.3,57.8,42.6,79.0,156.0
overall,3128429,Cortland Sutton,WR,active,1,2,0,3,33.3,54.6,52.7,57.0,113.0
overall,4877706,Jayden Higgins,WR,rookie,1,2,0,3,33.3,54.9,27.1,72.0,72.0
overall,4374302,Amon Ra,WR,active,1,2,0,3,33.3,78.1,78.9,169.0,169.0
overall,4426388,Jameson Williams,WR,active,1,2,0,3,33.3,64.1,49.7,110.0,110.0
overall,4241474,Brian Robinson,RB,active,3,7,0,10,30.0,42.9,28.9,36.0,36.0
overall,4242355,Jake Ferguson,TE,active,2,5,0,7,28.6,55.2,52.8,76.0,76.0
overall,4361741,Brock Purdy,QB,active,3,9,0,12,25.0,66.5,70.7,90.0,180.0
overall,3916387,Lamar Jackson,QB,active,1,3,0,4,25.0,66.8,68.1,88.0,88.0
overall,4568490,Rj Harvey,RB,rookie,1,3,0,4,25.0,53.3,40.0,76.0,76.0
overall,3930086,Dawson Knox,TE,fa,1,3,0,4,25.0,38.7,25.6,18.0,18.0
overall,4431280,Troy Franklin,WR,active,1,3,0,4,25.0,54.9,27.4,72.0,143.0
overall,4045163,Miles Sanders,RB,fa,1,3,0,4,25.0,26.5,21.1,0.0,0.0
overall,4241985,JK Dobbins,RB,active,1,3,0,4,25.0,48.7,52.8,55.0,55.0
overall,3123076,David Njoku,TE,active,1,3,0,4,25.0,41.3,41.1,24.0,24.0
overall,4602667,Jaylin Lane,WR,fa,1,4,0,5,20.0,46.7,14.3,39.0,39.0
overall,4430539,Brenton Strange,TE,fa,1,4,0,5,20.0,52.3,43.6,70.0,70.0
overall,4710341,Jarquez Hunter,RB,fa,1,4,0,5,20.0,27.0,6.0,0.0,0.0
overall,3051876,Evan Engram,TE,fa,1,5,0,6,16.7,44.7,43.5,35.0,35.0
overall,4685720,Bryce Young,QB,fa,1,5,0,6,16.7,47.4,24.1,16.0,16.0
overall,4429205,Jordan Addison,WR,rookie,1,5,0,6,16.7,56.6,36.1,78.0,78.0
overall,4429022,Kayshon Boutte,WR,active,1,5,0,6,16.7,58.3,38.5,86.0,252.0
overall,4567750,Emeka Egbuka,WR,rookie,1,4,2,7,14.3,63.4,42.8,109.0,109.0
overall,3039707,Mitchell Trubisky,QB,fa,1,8,0,9,11.1,25.4,17.8,0.0,0.0
overall,4715355,Darius Cooper,WR,fa,0,0,1,1,0.0,40.6,6.3,17.0,17.0
overall,4240021,Cam Akers,RB,fa,0,2,1,3,0.0,27.6,13.6,0.0,0.0
overall,4240603,Malik Davis,RB,fa,0,4,0,4,0.0,31.2,14.9,4.0,4.0
overall,4366963,Dylan Laube,RB,fa,0,4,0,4,0.0,29.5,3.1,1.0,1.0
overall,14012,Andy Dalton,QB,fa,0,2,0,2,0.0,19.2,19.4,0.0,0.0
overall,4241424,Tylan Wallace,WR,fa,0,3,0,3,0.0,36.4,9.6,4.0,4.0
overall,4685247,Braelon Allen,RB,active,0,5,0,5,0.0,32.7,13.5,8.0,23.0
overall,3139602,D'Ernest Johnson,RB,fa,0,6,0,6,0.0,19.1,2.8,0.0,0.0
overall,4371733,Kenneth Gainwell,RB,active,0,6,0,6,0.0,45.6,32.8,45.0,88.0
overall,4243176,Brady Russell,RB,fa,0,2,0,2,0.0,32.8,9.1,7.0,7.0
overall,4372071,Hassan Haskins,RB,fa,0,2,0,2,0.0,29.1,5.8,0.0,0.0
overall,4361529,Isaiah Pacheco,RB,extension,0,6,0,6,0.0,38.6,28.4,23.0,66.0
overall,4570561,Eric Gray,RB,fa,0,2,0,2,0.0,21.4,4.8,0.0,0.0
overall,3915411,Ty Johnson,RB,fa,0,6,0,6,0.0,40.7,24.1,29.0,29.0
overall,4430968,Kimani Vidal,RB,fa,0,4,0,4,0.0,46.7,30.8,54.0,54.0
overall,4421446,Craig Reynolds,RB,fa,0,2,0,2,0.0,19.0,8.7,0.0,0.0
overall,3125107,Andrew Beck,RB,fa,0,2,0,2,0.0,23.7,4.1,0.0,0.0
overall,4259545,DeAndre Swift,RB,active,0,3,0,3,0.0,58.4,56.9,91.0,91.0
